03-Aug-2026 15:28:58 | INFO    | Your Klayout version is: KLayout 0.30.9
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_pin has 8 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_mask has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_nofill has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_text has 8 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_OPC has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_noqrc has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_res has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_iprobe has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : metal5_diffprb has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : radhard_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : memcap_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : varicap_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : intbondvia_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : intbondmet_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : devbondvia_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : devbondmet_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : devtrench_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : redist_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : graphbot_drw has 0 polygons
2026-08-03 15:29:15 +0200: Memory Usage (465232K) : graphtop_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : antvia1_drw has 0 polygons
2026-08-03 15:29:16 +0200: Memory Usage (465232K) : antmetal2_drw has 0 polygons
